UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,Item01A,Item04A,Item05A,Item12A,Item19A,Item20A,Item09S,Item11S,Item14S,Item24S,Item25S
10189.0,9363926.0,non-gamified,Grupo Team 2,Apprentice,NA,1,1,2,1,1,2,1,1,1,1,3
10190.0,10276907.0,non-gamified,Grupo Team 8,Apprentice,NA,3,4,2,1,1,1,4,6,7,7,5
10191.0,10276981.0,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,6,6,7,6,7,6,4,5,6,7,7
10192.0,10276682.0,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,7,7,7,7,7,7,7,7,7,7,7
10193.0,10276762.0,non-gamified,Grupo Team 2,Master,NA,3,3,6,4,4,3,3,1,4,4,3
10196.0,10310655.0,non-gamified,Grupo Team 5,Apprentice,NA,4,1,3,4,4,4,4,4,5,2,4
10197.0,10276661.0,non-gamified,Grupo Team 11,Master,NA,7,5,4,4,2,4,4,3,3,4,6
10198.0,10310888.0,non-gamified,Grupo Team 1,Apprentice,NA,7,7,4,7,7,7,7,7,7,7,7
10200.0,9795272.0,non-gamified,Grupo Team 4,Apprentice,NA,5,5,3,4,4,4,4,4,5,6,5
10201.0,10276928.0,non-gamified,Grupo Team 10,Master,NA,4,4,5,5,5,5,3,6,6,6,6
10202.0,10277036.0,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever,5,4,4,4,3,4,4,5,4,5,5
10203.0,9921470.0,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever,7,7,7,7,7,7,7,7,7,7,7
10204.0,10310471.0,non-gamified,Grupo Team 5,Master,NA,7,6,7,7,7,7,4,7,7,7,5
10206.0,10310721.0,non-gamified,Grupo Team 9,Master,NA,4,5,3,3,4,3,4,4,5,6,5
10208.0,10276932.0,ont-gamified,Grupo Yeka,Master,Yee Socializer,4,3,5,3,5,4,4,5,4,5,4
10209.0,10262669.0,non-gamified,Grupo Team 1,Master,NA,1,1,7,1,1,1,4,1,1,1,4
10210.0,10277015.0,ont-gamified,Grupo Losvakai,Apprentice,Yee Achiever,4,4,6,4,2,3,2,4,6,3,3
10211.0,9311643.0,ont-gamified,Grupo Razorg,Master,Yee Achiever,1,1,1,2,1,1,2,3,2,4,1
10212.0,9065750.0,ont-gamified,Grupo Ellaru,Apprentice,Yee Socializer,2,4,2,3,4,3,3,5,2,4,5
10213.0,10277040.0,non-gamified,Grupo Team 8,Master,NA,4,3,7,5,6,5,2,4,6,6,7
10214.0,10277022.0,ont-gamified,Grupo Koil,Apprentice,Yee Achiever,4,5,5,4,5,4,3,4,4,5,5
10215.0,9285227.0,non-gamified,Grupo Team 7,Apprentice,NA,6,4,3,3,4,4,7,4,5,6,6
10216.0,10276720.0,ont-gamified,Grupo Ellaru,Master,Yee Socializer,2,5,7,3,7,2,4,7,6,7,7
10217.0,9805341.0,ont-gamified,Grupo Belos,Master,Yee Socializer,5,6,6,4,4,5,4,6,6,6,6
10218.0,9842913.0,non-gamified,Grupo Team 10,Apprentice,NA,4,2,4,4,2,2,4,5,5,7,7
10219.0,10276831.0,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever,1,1,4,5,4,3,4,3,2,2,3
10220.0,9760151.0,non-gamified,Grupo Team 4,Apprentice,NA,1,1,1,1,1,4,7,7,7,7,7
10221.0,9082496.0,non-gamified,Grupo Team 3,Apprentice,NA,4,2,3,3,4,4,4,6,3,4,6
10223.0,9795185.0,non-gamified,Grupo Team 3,Master,NA,1,1,2,2,3,3,2,4,2,2,2
10224.0,9368772.0,non-gamified,Grupo Team 9,Apprentice,NA,4,7,5,5,5,5,4,4,6,6,6
10226.0,10310342.0,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,6,4,3,6,5,5,4,6,5,6,6
10227.0,9274382.0,non-gamified,Grupo Team 2,Apprentice,NA,7,5,4,6,5,6,6,6,6,6,6
10228.0,10310492.0,ont-gamified,Grupo Losvakai,Apprentice,Yee Achiever,4,4,4,5,4,4,4,4,4,5,4
10230.0,10351992.0,ont-gamified,Grupo Koil,Apprentice,Yee Achiever,6,7,7,5,7,6,5,5,5,7,7
10231.0,10276911.0,non-gamified,Grupo Team 4,Master,NA,3,4,4,2,2,2,1,3,4,6,5
10232.0,10276974.0,non-gamified,Grupo Team 3,Apprentice,NA,5,5,5,5,5,5,5,6,5,7,1
10233.0,9805320.0,ont-gamified,Grupo Tosskor,Apprentice,Yee Achiever,2,3,5,4,6,7,1,4,2,6,4
10234.0,10310676.0,non-gamified,Grupo Team 6,Apprentice,NA,4,4,5,4,6,6,2,4,3,4,4
10237.0,10377688.0,ont-gamified,Grupo Ellaru,Apprentice,Yee Socializer,4,3,6,4,4,3,4,5,5,5,5
10238.0,10276953.0,ont-gamified,Grupo Belos,Apprentice,Yee Socializer,4,4,4,5,5,4,5,5,5,5,6
10240.0,10276654.0,non-gamified,Grupo Team 8,Apprentice,NA,2,2,2,2,2,2,2,4,2,3,2
10242.0,9424506.0,non-gamified,Grupo Team 11,Apprentice,NA,1,1,1,1,1,1,1,1,1,7,4
