UserID,Type,Group,CLRole,PlayerRole,logintimePA,firstsubmtimePA,viewtimePA,apxtPA,exatPA,nsubmPA,nevalPA,corrPA,nviewPA,logintimePB,firstsubmtimePB,viewtimePB,apxtPB,exatPB,nsubmPB,nevalPB,corrPB,nviewPB,logintimePC,firstsubmtimePC,viewtimePC,apxtPC,exatPC,nsubmPC,nevalPC,corrPC,nviewPC,logintimePD,firstsubmtimePD,viewtimePD,apxtPD,exatPD,nsubmPD,nevalPD,corrPD,nviewPD
10133,ont-gamified,Grupo Hades,Apprentice,Yee Achiever,1480115220,1480117614,1480115644,4676,174,3,3,10,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
10142,ont-gamified,Grupo Hades,Apprentice,Yee Achiever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10127,ont-gamified,Grupo Hades,Apprentice,Yee Achiever,0,1480115863,1480115494,3321,2956,10,1,10,3,0,1480119910,1480118863,2043,2078,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10128,ont-gamified,Grupo Morfeu,Apprentice,Yee Achiever,0,1480116929,1480115102,1827,1717,1,1,8,2,0,1480117994,1480116980,1244,231,2,2,8,5,0,1480120399,1480118240,2159,3,1,1,10,1,0,0,0,0,0,0,0,0,1
10152,ont-gamified,Grupo Morfeu,Master,Yee Achiever,0,1480116712,1480115342,1370,1150,1,1,10,2,0,1480117859,1480116760,3752,1081,3,2,10,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
10123,ont-gamified,Grupo Morfeu,Apprentice,Yee Achiever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10137,ont-gamified,Grupo Morfeu,Apprentice,Yee Achiever,0,1480116776,1480115152,2499,2327,10,1,10,3,0,1480118475,1480117685,1360,1294,6,2,10,1,1480360978,1480361273,1480361245,92,63,2,1,10,1,1480360978,1480361421,1480361361,60,33,1,0,0,1
10126,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,1480157909,1480161952,1480158060,5503,33,3,2,10,4,1480157909,1480163543,1480161050,2645,836,2,2,10,6,1480157909,1480164620,1480161052,43116,48,4,2,0,6,0,0,0,0,0,0,0,0,1
10138,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,1480114822,1480115816,1480115258,558,405,1,1,10,3,1480114822,1480116751,1480115953,1125,1009,5,4,10,3,1480114822,1480119393,1480117125,2268,1642,1,1,10,3,0,0,0,0,0,0,0,0,4
10151,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10120,ont-gamified,Grupo Hélio,Master,Yee Socializer,1480114853,1480115912,1480115258,1965,6,4,4,10,7,1480114853,1480118414,1480115291,583868,0,2,2,10,7,1480114853,1480120848,1480118428,582861,1784,2,2,10,6,0,0,0,0,0,0,0,0,3
10146,non-gamified,GroupA,Apprentice,,0,1480116262,1480115168,1454,279,3,1,10,4,0,1480117105,1480116645,460,437,1,1,10,2,0,1480118468,1480117166,1876,1861,4,2,10,1,0,1480120470,1480119159,1324,1297,2,2,10,2
10149,non-gamified,GroupA,Apprentice,,0,1480117500,1480116034,1466,0,1,1,10,2,0,1480118474,1480117517,957,0,1,1,10,2,0,1480119285,1480118494,906,0,2,2,10,3,0,1480120335,1480118991,1344,0,1,1,0,3
10132,non-gamified,GroupA,Apprentice,,1480115126,1480116264,1480115440,2966,2791,15,3,10,3,1480115126,1480118914,1480118436,568,284,2,1,10,2,1480115126,1480119319,1480119031,288,15,1,1,10,2,0,0,0,0,0,0,0,0,1
10153,non-gamified,GroupA,Apprentice,,1480266449,1480266746,1480266708,197,179,4,3,10,1,1480266449,1480266978,1480266951,59,50,2,2,10,1,1480266449,1480267085,1480267030,89,82,2,2,10,1,0,0,0,0,0,0,0,0,1
10144,non-gamified,GroupA,Master,,0,1480117032,1480116512,688,521,3,1,10,4,0,1480118126,1480117336,1164,1097,3,2,10,6,0,1480119441,1480118568,211920,11699,60,39,3,7,0,0,0,0,0,0,0,0,1
10122,non-gamified,GroupB,Apprentice,,1480116051,1480116729,1480116108,621,3,1,1,10,3,1480116051,1480118090,1480116743,1347,0,1,1,10,2,1480116051,1480119671,1480118122,1549,54,1,1,6,2,0,0,0,0,0,0,0,0,0
10145,non-gamified,GroupB,Master,,1480115431,1480116724,1480115729,1065,69,2,2,10,3,1480115431,1480117645,1480116824,1086,265,4,4,10,3,1480121762,1480123022,1480121771,1594,343,2,2,10,4,0,0,0,0,0,0,0,0,1
10129,non-gamified,GroupB,Apprentice,,0,1480116353,1480115172,1504,887,3,3,10,3,0,1480118054,1480116691,56898,2729,6,6,10,10,1480171320,1480174483,1480173607,876,83,1,1,10,4,0,0,0,0,0,0,0,0,2
10125,non-gamified,GroupB,Apprentice,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10135,non-gamified,GroupB,Apprentice,,0,1480115854,1480115451,219217,1966,2,1,10,7,1480333876,1480335124,1480334718,406,6,1,1,10,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4
10140,non-gamified,GroupC,Apprentice,,1480114979,1480117912,1480115364,2548,36,1,1,10,6,1480114979,1480118873,1480116894,1979,33,1,1,10,3,1481419788,1481419841,1481419799,42,32,1,1,10,4,1481419788,1481419875,1481419858,17,7,1,1,10,2
10130,non-gamified,GroupC,Apprentice,,1480114960,1480117219,1480115215,2004,11,1,1,10,1,1480114960,1480119573,1480117232,2341,4,1,1,10,2,1480114960,1480120303,1480119668,635,3,1,1,10,2,0,0,0,0,0,0,0,0,0
10136,non-gamified,GroupC,Apprentice,,1480115026,1480116041,1480115329,797,419,2,1,10,2,1480115026,1480117146,1480116151,1550,1521,9,1,10,4,1480115026,1480119288,1480117741,1547,1532,1,1,10,3,0,0,0,0,0,0,0,0,1
10154,non-gamified,GroupC,Apprentice,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10116,non-gamified,GroupC,Master,,1480115731,1480116479,1480115902,1008,921,5,1,10,5,1480115731,1480117623,1480116929,2205,2094,9,1,10,5,1480115731,1480119372,1480119148,224,3,1,1,10,1,0,0,0,0,0,0,0,0,1
10160,non-gamified,GroupD,Master,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10159,non-gamified,GroupD,Apprentice,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10158,non-gamified,GroupD,Apprentice,,1480179604,1480180276,1480179625,695,45,2,1,10,4,1480179604,1480183703,1480180438,3265,0,1,1,10,3,1480277551,1480282030,1480280323,1707,12,1,1,1,2,0,0,0,0,0,0,0,0,0
