UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,Item12A,Item19A,Item04A,Item20A,Item16A,Item01A,Item15R,Item21R,Item10R,Item08R,Item13S,Item14S,Item17S,Attention,Relevance,Satisfaction,Level of Motivation
10183,10352030,non-gamified,Grupo Belos,Apprentice,Yee Socializer,3,5,2,2,3,4,4,4,6,4,4,4,4,3.1666666666666665,3.5,4,3.4615384615384617
10184,10276675,non-gamified,Grupo Team 7,Master,NA,6,4,6,6,6,5,3,2,2,1,6,6,4,5.5,6,5.333333333333333,5.615384615384615
10185,10276960,ont-gamified,Grupo Tosskor,Master,Yee Achiever,4,5,5,3,4,4,4,4,3,2,4,4,4,4.166666666666667,4.75,4,4.3076923076923075
10186,10310551,non-gamified,Grupo Team 5,Apprentice,NA,3,1,4,4,7,1,1,3,4,4,7,5,5,3.3333333333333335,5,5.666666666666667,4.384615384615385
10187,9790781,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever,4,4,4,5,4,6,5,6,5,5,5,5,4,4.5,2.75,4.666666666666667,4
10188,10276995,ont-gamified,Grupo Paldira,Master,Yee Achiever,5,3,5,4,4,4,4,4,2,1,5,4,5,4.166666666666667,5.25,4.666666666666667,4.615384615384615
10189,9363926,non-gamified,Grupo Team 2,Apprentice,NA,1,1,1,2,1,1,2,6,6,6,1,1,1,1.1666666666666667,3,1,1.6923076923076923
10190,10276907,non-gamified,Grupo Team 8,Apprentice,NA,1,1,4,1,3,3,1,5,6,1,7,7,4,2.1666666666666665,4.75,6,3.8461538461538463
10191,10276981,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,6,7,6,6,5,6,4,2,1,2,6,6,6,6,5.75,6,5.923076923076923
10192,10276682,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,7,7,7,7,7,7,1,1,6,1,7,7,4,7,5.75,6,6.384615384615385
10193,10276762,non-gamified,Grupo Team 2,Master,NA,4,4,3,3,5,3,6,3,4,1,2,4,2,3.6666666666666665,4.5,2.6666666666666665,3.6923076923076925
10196,10310655,non-gamified,Grupo Team 5,Apprentice,NA,4,4,1,4,5,4,4,5,6,4,4,5,4,3.6666666666666665,3.25,4.333333333333333,3.6923076923076925
10197,10276661,non-gamified,Grupo Team 11,Master,NA,4,2,5,4,4,7,4,3,1,4,5,3,5,4.333333333333333,5,4.333333333333333,4.538461538461538
10198,10310888,non-gamified,Grupo Team 1,Apprentice,NA,7,7,7,7,7,7,1,1,1,4,7,7,4,7,6.25,6,6.538461538461538
10200,9795272,non-gamified,Grupo Team 4,Apprentice,NA,4,4,5,4,5,5,3,3,5,3,6,5,5,4.5,4.5,5.333333333333333,4.6923076923076925
10201,10276928,non-gamified,Grupo Team 10,Master,NA,5,5,4,5,5,4,2,2,3,4,6,6,6,4.666666666666667,5.25,6,5.153846153846154
10202,10277036,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever,4,3,4,4,4,5,4,4,4,6,4,4,4,4,3.5,4,3.8461538461538463
10203,9921470,ont-gamified,Grupo Paldira,Apprentice,Yee Achiever,7,7,7,7,7,7,1,1,1,1,7,7,7,7,7,7,7
10204,10310471,non-gamified,Grupo Team 5,Master,NA,7,7,6,7,7,7,3,1,2,1,7,7,5,6.833333333333333,6.25,6.333333333333333,6.538461538461538
10206,10310721,non-gamified,Grupo Team 9,Master,NA,3,4,5,3,4,4,4,2,2,5,4,5,5,3.8333333333333335,4.75,4.666666666666667,4.3076923076923075
10208,10276932,ont-gamified,Grupo Yeka,Master,Yee Socializer,3,5,3,4,4,4,4,4,6,3,3,4,4,3.8333333333333335,3.75,3.6666666666666665,3.769230769230769
10209,10262669,non-gamified,Grupo Team 1,Master,NA,1,1,1,1,4,1,4,6,6,1,4,1,3,1.5,3.75,2.6666666666666665,2.4615384615384617
10210,10277015,ont-gamified,Grupo Losvakai,Apprentice,Yee Achiever,4,2,4,3,2,4,2,6,3,2,2,6,3,3.1666666666666665,4.75,3.6666666666666665,3.769230769230769
10211,9311643,ont-gamified,Grupo Razorg,Master,Yee Achiever,2,1,1,1,2,1,5,4,5,1,2,2,1,1.3333333333333333,4.25,1.6666666666666667,2.3076923076923075
10212,9065750,ont-gamified,Grupo Ellaru,Apprentice,Yee Socializer,3,4,4,3,4,2,3,3,4,2,4,2,3,3.3333333333333335,5,3,3.769230769230769
10213,10277040,non-gamified,Grupo Team 8,Master,NA,5,6,3,5,4,4,3,4,3,2,5,6,6,4.5,5,5.666666666666667,4.923076923076923
10214,10277022,ont-gamified,Grupo Koil,Apprentice,Yee Achiever,4,5,5,4,5,4,3,2,2,2,3,4,4,4.5,5.75,3.6666666666666665,4.6923076923076925
10215,9285227,non-gamified,Grupo Team 7,Apprentice,NA,3,4,4,4,6,6,1,1,1,1,6,5,2,4.5,7,4.333333333333333,5.230769230769231
10216,10276720,ont-gamified,Grupo Ellaru,Master,Yee Socializer,3,7,5,2,4,2,5,3,3,1,4,6,4,3.8333333333333335,5,4.666666666666667,4.384615384615385
10217,9805341,ont-gamified,Grupo Belos,Master,Yee Socializer,4,4,6,5,5,5,3,2,2,2,5,6,4,4.833333333333333,5.75,5,5.153846153846154
10218,9842913,non-gamified,Grupo Team 10,Apprentice,NA,4,2,2,2,5,4,3,3,2,3,5,5,5,3.1666666666666665,5.25,5,4.230769230769231
10219,10276831,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever,5,4,1,3,2,1,7,6,4,4,4,2,4,2.6666666666666665,2.75,3.3333333333333335,2.8461538461538463
10220,9760151,non-gamified,Grupo Team 4,Apprentice,NA,1,1,1,4,1,1,1,1,1,1,7,7,4,1.5,7,6,4.230769230769231
10221,9082496,non-gamified,Grupo Team 3,Apprentice,NA,3,4,2,4,4,4,5,5,6,2,2,3,3,3.5,3.5,2.6666666666666665,3.3076923076923075
10223,9795185,non-gamified,Grupo Team 3,Master,NA,2,3,1,3,2,1,6,6,5,4,2,2,3,2,2.75,2.3333333333333335,2.3076923076923075
10224,9368772,non-gamified,Grupo Team 9,Apprentice,NA,5,5,7,5,6,4,4,2,1,1,5,6,6,5.333333333333333,6,5.666666666666667,5.615384615384615
10226,10310342,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,6,5,4,5,4,6,2,1,1,3,6,5,6,5,6.25,5.666666666666667,5.538461538461538
10227,9274382,non-gamified,Grupo Team 2,Apprentice,NA,6,5,5,6,6,7,2,2,2,2,6,6,5,5.833333333333333,6,5.666666666666667,5.846153846153846
10228,10310492,ont-gamified,Grupo Losvakai,Apprentice,Yee Achiever,5,4,4,4,4,4,4,3,3,3,4,4,4,4.166666666666667,4.75,4,4.3076923076923075
10230,10351992,ont-gamified,Grupo Koil,Apprentice,Yee Achiever,5,7,7,6,6,6,1,3,3,1,4,5,7,6.166666666666667,6,5.333333333333333,5.923076923076923
10231,10276911,non-gamified,Grupo Team 4,Master,NA,2,2,4,2,2,3,2,5,4,1,6,4,4,2.5,5,4.666666666666667,3.769230769230769
10232,10276974,non-gamified,Grupo Team 3,Apprentice,NA,5,5,5,5,6,5,1,1,2,2,6,5,6,5.166666666666667,6.5,5.666666666666667,5.6923076923076925
10233,9805320,ont-gamified,Grupo Tosskor,Apprentice,Yee Achiever,4,6,3,7,4,2,6,5,5,4,1,2,1,4.333333333333333,3,1.3333333333333333,3.230769230769231
10234,10310676,non-gamified,Grupo Team 6,Apprentice,NA,4,6,4,6,4,4,3,6,1,1,4,3,5,4.666666666666667,5.25,4,4.6923076923076925
10237,10377688,ont-gamified,Grupo Ellaru,Apprentice,Yee Socializer,4,4,3,3,5,4,2,3,2,1,3,5,3,3.8333333333333335,6,3.6666666666666665,4.461538461538462
10238,10276953,ont-gamified,Grupo Belos,Apprentice,Yee Socializer,5,5,4,4,5,4,3,4,4,4,5,5,4,4.5,4.25,4.666666666666667,4.461538461538462
10240,10276654,non-gamified,Grupo Team 8,Apprentice,NA,2,2,2,2,2,2,5,5,5,4,1,2,2,2,3.25,1.6666666666666667,2.3076923076923075
10242,9424506,non-gamified,Grupo Team 11,Apprentice,NA,1,1,1,1,1,1,4,6,6,4,1,1,1,1,3,1,1.6153846153846154
