Study,UserID,Item12A,Item19A,Item04A,Item20A,Item16A,Item01A,Item15R,Item21R,Item10R,Item08R,Item13S,Item14S,Item17S,Attention,Relevance,Satisfaction,Level of Motivation
second,10204,7,7,6,7,7,7,3,1,2,1,7,7,5,6.833333333333333,6.25,6.333333333333333,6.538461538461538
second,10206,3,4,5,3,4,4,4,2,2,5,4,5,5,3.8333333333333335,4.75,4.666666666666667,4.3076923076923075
second,10208,3,5,3,4,4,4,4,4,6,3,3,4,4,3.8333333333333335,3.75,3.6666666666666665,3.769230769230769
second,10209,1,1,1,1,4,1,4,6,6,1,4,1,3,1.5,3.75,2.6666666666666665,2.4615384615384617
second,10210,4,2,4,3,2,4,2,6,3,2,2,6,3,3.1666666666666665,4.75,3.6666666666666665,3.769230769230769
second,10211,2,1,1,1,2,1,5,4,5,1,2,2,1,1.3333333333333333,4.25,1.6666666666666667,2.3076923076923075
second,10212,3,4,4,3,4,2,3,3,4,2,4,2,3,3.3333333333333335,5,3,3.769230769230769
second,10213,5,6,3,5,4,4,3,4,3,2,5,6,6,4.5,5,5.666666666666667,4.923076923076923
second,10214,4,5,5,4,5,4,3,2,2,2,3,4,4,4.5,5.75,3.6666666666666665,4.6923076923076925
second,10215,3,4,4,4,6,6,1,1,1,1,6,5,2,4.5,7,4.333333333333333,5.230769230769231
second,10216,3,7,5,2,4,2,5,3,3,1,4,6,4,3.8333333333333335,5,4.666666666666667,4.384615384615385
second,10217,4,4,6,5,5,5,3,2,2,2,5,6,4,4.833333333333333,5.75,5,5.153846153846154
second,10218,4,2,2,2,5,4,3,3,2,3,5,5,5,3.1666666666666665,5.25,5,4.230769230769231
second,10219,5,4,1,3,2,1,7,6,4,4,4,2,4,2.6666666666666665,2.75,3.3333333333333335,2.8461538461538463
second,10220,1,1,1,4,1,1,1,1,1,1,7,7,4,1.5,7,6,4.230769230769231
second,10221,3,4,2,4,4,4,5,5,6,2,2,3,3,3.5,3.5,2.6666666666666665,3.3076923076923075
second,10223,2,3,1,3,2,1,6,6,5,4,2,2,3,2,2.75,2.3333333333333335,2.3076923076923075
second,10224,5,5,7,5,6,4,4,2,1,1,5,6,6,5.333333333333333,6,5.666666666666667,5.615384615384615
second,10226,6,5,4,5,4,6,2,1,1,3,6,5,6,5,6.25,5.666666666666667,5.538461538461538
second,10227,6,5,5,6,6,7,2,2,2,2,6,6,5,5.833333333333333,6,5.666666666666667,5.846153846153846
second,10228,5,4,4,4,4,4,4,3,3,3,4,4,4,4.166666666666667,4.75,4,4.3076923076923075
second,10230,5,7,7,6,6,6,1,3,3,1,4,5,7,6.166666666666667,6,5.333333333333333,5.923076923076923
second,10231,2,2,4,2,2,3,2,5,4,1,6,4,4,2.5,5,4.666666666666667,3.769230769230769
second,10232,5,5,5,5,6,5,1,1,2,2,6,5,6,5.166666666666667,6.5,5.666666666666667,5.6923076923076925
second,10233,4,6,3,7,4,2,6,5,5,4,1,2,1,4.333333333333333,3,1.3333333333333333,3.230769230769231
second,10234,4,6,4,6,4,4,3,6,1,1,4,3,5,4.666666666666667,5.25,4,4.6923076923076925
second,10237,4,4,3,3,5,4,2,3,2,1,3,5,3,3.8333333333333335,6,3.6666666666666665,4.461538461538462
second,10238,5,5,4,4,5,4,3,4,4,4,5,5,4,4.5,4.25,4.666666666666667,4.461538461538462
second,10240,2,2,2,2,2,2,5,5,5,4,1,2,2,2,3.25,1.6666666666666667,2.3076923076923075
second,10242,1,1,1,1,1,1,4,6,6,4,1,1,1,1,3,1,1.6153846153846154
third,10169,7,7,7,7,7,7,4,1,2,3,7,7,7,7,5.5,7,6.538461538461538
third,10170,5,5,6,4,4,4,2,2,2,5,4,4,5,4.666666666666667,5.25,4.333333333333333,4.769230769230769
third,10171,5,5,6,5,5,4,2,2,2,1,6,6,4,5,6.25,5.333333333333333,5.461538461538462
third,10172,5,6,5,4,5,5,5,5,5,5,6,4,5,5,3,5,4.384615384615385
third,10174,4,6,5,4,5,7,5,6,3,4,6,5,4,5.166666666666667,3.5,5,4.615384615384615
third,10175,5,6,5,5,6,4,3,2,1,1,6,6,5,5.166666666666667,6.25,5.666666666666667,5.615384615384615
third,10176,5,4,5,4,4,4,4,4,4,4,4,4,4,4.333333333333333,4,4,4.153846153846154
third,10178,4,4,4,4,4,4,6,4,4,4,2,4,4,4,3.5,3.3333333333333335,3.6923076923076925
third,10179,4,2,4,4,5,2,2,4,3,2,3,4,5,3.5,5.25,4,4.153846153846154
third,10181,4,5,4,3,5,4,4,2,4,4,1,1,3,4.166666666666667,4.5,1.6666666666666667,3.6923076923076925
third,10183,2,2,2,2,3,2,6,5,5,4,2,2,4,2.1666666666666665,3,2.6666666666666665,2.5384615384615383
third,10184,4,2,4,4,4,5,1,4,4,4,6,4,4,3.8333333333333335,4.75,4.666666666666667,4.3076923076923075
third,10185,5,4,3,5,2,4,3,5,4,6,4,5,5,3.8333333333333335,3.5,4.666666666666667,3.923076923076923
third,10186,1,1,4,5,4,6,1,3,5,1,7,7,5,3.5,5.5,6.333333333333333,4.769230769230769
third,10188,4,2,4,3,4,3,1,2,1,2,3,3,3,3.3333333333333335,6.5,3,4.230769230769231
third,10189,1,1,2,1,2,1,7,6,3,1,3,2,3,1.3333333333333333,3.75,2.6666666666666665,2.3846153846153846
third,10190,5,5,6,5,5,3,5,5,5,4,3,4,4,4.833333333333333,3.25,3.6666666666666665,4.076923076923077
third,10191,4,4,2,2,4,4,3,3,3,6,4,4,5,3.3333333333333335,4.25,4.333333333333333,3.8461538461538463
third,10192,4,7,4,7,5,4,5,1,4,4,7,6,7,5.166666666666667,4.5,6.666666666666667,5.3076923076923075
third,10193,1,1,2,1,1,1,1,1,2,1,1,2,1,1.1666666666666667,6.75,1.3333333333333333,2.923076923076923
third,10197,4,5,7,4,4,7,2,5,1,4,4,4,2,5.166666666666667,5,3.3333333333333335,4.6923076923076925
third,10198,5,7,5,7,7,4,4,2,3,2,7,7,6,5.833333333333333,5.25,6.666666666666667,5.846153846153846
third,10199,4,3,5,1,4,4,4,4,4,2,6,4,4,3.5,4.5,4.666666666666667,4.076923076923077
third,10200,5,6,4,5,5,5,3,3,3,2,5,6,7,5,5.25,6,5.3076923076923075
third,10201,5,6,6,5,4,3,6,4,3,5,6,5,6,4.833333333333333,3.5,5.666666666666667,4.615384615384615
third,10202,3,2,2,4,4,4,3,3,5,3,5,5,5,3.1666666666666665,4.5,5,4
third,10203,5,6,4,4,4,4,5,4,4,3,5,7,7,4.5,4,6.333333333333333,4.769230769230769
third,10204,1,1,1,1,1,1,4,1,6,4,2,1,4,1,4.25,2.3333333333333335,2.3076923076923075
third,10206,6,4,4,4,5,4,4,3,3,3,5,5,6,4.5,4.75,5.333333333333333,4.769230769230769
third,10208,2,3,2,3,3,2,4,5,6,3,5,5,3,2.5,3.5,4.333333333333333,3.230769230769231
third,10209,2,2,2,3,3,2,4,4,6,1,2,2,3,2.3333333333333335,4.25,2.3333333333333335,2.923076923076923
third,10210,1,1,1,1,1,1,4,6,6,6,1,1,1,1,2.5,1,1.4615384615384615
third,10213,7,7,5,2,7,5,1,2,1,1,7,4,7,5.5,6.75,6,6
third,10214,2,1,1,2,4,3,6,5,5,3,3,4,4,2.1666666666666665,3.25,3.6666666666666665,2.8461538461538463
third,10215,4,1,4,1,3,5,4,1,1,1,3,3,1,3,6.25,2.3333333333333335,3.8461538461538463
third,10216,6,2,4,4,4,3,3,2,1,2,5,5,6,3.8333333333333335,6,5.333333333333333,4.846153846153846
third,10217,4,4,3,4,5,3,3,3,3,3,4,4,4,3.8333333333333335,5,4,4.230769230769231
third,10218,4,5,3,5,3,4,3,3,4,4,4,3,3,4,4.5,3.3333333333333335,4
third,10219,2,3,3,1,2,1,4,5,4,5,1,1,1,2,3.5,1,2.230769230769231
third,10220,1,1,1,1,1,4,4,1,1,1,7,4,7,1.5,6.25,6,4
third,10221,2,3,4,2,4,2,6,6,4,6,4,3,5,2.8333333333333335,2.5,4,3
third,10223,4,4,3,4,4,4,3,2,3,4,4,5,4,3.8333333333333335,5,4.333333333333333,4.3076923076923075
third,10224,4,4,4,4,5,5,4,4,3,3,5,4,6,4.333333333333333,4.5,5,4.538461538461538
third,10226,2,2,3,4,6,4,2,4,4,5,3,2,3,3.5,4.25,2.6666666666666665,3.5384615384615383
third,10227,5,6,5,6,6,5,4,4,2,2,6,6,6,5.5,5,6,5.461538461538462
third,10228,1,4,1,2,4,1,4,6,2,1,4,4,4,2.1666666666666665,4.75,4,3.3846153846153846
third,10230,4,6,3,5,6,4,3,3,4,3,4,6,2,4.666666666666667,4.75,4,4.538461538461538
third,10231,4,4,4,4,4,4,4,4,4,2,7,5,4,4,4.5,5.333333333333333,4.461538461538462
third,10232,6,5,4,4,6,4,4,2,2,1,6,5,6,4.833333333333333,5.75,5.666666666666667,5.3076923076923075
third,10234,2,1,2,6,2,6,2,4,1,2,1,2,2,3.1666666666666665,5.75,1.6666666666666667,3.6153846153846154
third,10237,3,5,4,4,3,3,4,4,4,2,3,4,6,3.6666666666666665,4.5,4.333333333333333,4.076923076923077
third,10238,5,5,4,4,4,4,4,3,3,4,3,2,5,4.333333333333333,4.5,3.3333333333333335,4.153846153846154
