Study,UserID,Item01,Item02,Item03,Item04,Item05,Item06,Item07,Item08,Item09,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24
third,10199,1,3,4,4,4,5,4,5,3,5,4,3,4,4,3,2,5,3,6,3,4,3,6,4
third,10200,3,5,6,5,2,2,1,2,5,6,3,5,1,5,3,5,4,4,5,2,5,4,2,5
third,10201,6,3,5,6,5,4,3,4,6,5,5,3,3,3,5,2,3,4,4,4,6,5,6,5
third,10202,3,2,5,5,4,5,2,2,3,5,3,3,2,3,3,3,2,3,2,3,3,3,3,3
third,10203,5,1,7,7,4,1,1,1,4,6,3,4,1,2,4,5,1,1,1,5,3,5,6,4
third,10204,1,7,4,4,1,7,1,6,1,7,1,1,4,5,7,5,6,5,7,4,1,1,1,1
third,10206,3,3,5,5,5,2,2,2,5,5,4,4,2,3,3,2,2,3,2,3,4,4,4,2
third,10208,3,4,5,3,5,4,2,2,4,4,5,4,2,2,4,2,2,2,5,5,4,4,3,4
third,10209,2,7,3,3,1,7,3,6,2,2,7,2,2,2,7,1,6,1,5,6,2,2,1,4
third,10210,1,7,7,4,1,7,1,6,1,7,1,1,1,5,7,5,6,5,7,6,1,1,1,1
third,10213,1,7,7,7,3,7,1,6,4,7,4,4,1,1,7,5,6,5,7,1,4,3,1,7
third,10214,1,6,7,4,1,7,1,6,1,7,2,1,1,5,6,1,2,4,5,6,2,1,1,1
third,10215,3,2,2,6,4,4,4,1,4,1,1,5,1,1,5,1,1,1,1,6,5,5,5,2
third,10216,7,2,4,6,4,1,2,3,4,4,7,5,1,1,3,1,2,1,3,1,4,5,5,3
third,10217,4,4,3,6,3,4,4,2,5,2,7,4,3,1,4,1,5,1,4,3,5,5,3,3
third,10218,4,4,4,4,3,5,4,4,4,5,5,4,4,4,4,5,5,4,3,3,4,4,5,4
third,10219,4,1,2,3,1,4,6,6,1,2,7,2,5,1,7,1,6,1,7,6,1,2,2,1
third,10220,1,1,4,7,7,4,1,1,4,7,7,4,1,1,1,1,1,1,1,4,4,1,1,1
third,10221,2,6,5,3,2,5,3,6,3,5,6,3,2,4,4,2,4,5,4,6,3,3,3,2
third,10223,5,4,5,5,4,3,4,4,5,4,4,5,4,4,4,4,4,2,4,3,6,5,3,4
third,10224,4,4,5,5,3,4,5,4,4,6,3,4,4,4,5,5,5,5,4,3,4,4,4,4
third,10226,1,7,2,3,1,7,6,6,1,1,1,1,5,5,7,5,6,5,4,4,4,1,1,1
third,10227,5,3,4,5,5,3,3,3,3,3,5,5,5,5,4,4,4,3,3,3,6,4,4,3
third,10228,1,1,2,3,1,1,1,2,1,1,1,2,2,2,2,3,2,2,1,2,2,1,1,1
third,10230,4,3,3,6,4,3,2,5,5,5,6,5,3,5,5,4,4,5,6,3,5,4,3,4
third,10231,6,2,2,6,7,2,4,2,4,1,7,5,3,1,1,1,1,1,2,4,4,4,5,4
third,10232,4,3,5,5,4,4,1,4,4,6,3,5,1,2,3,2,3,2,1,2,5,4,4,5
third,10234,1,7,2,5,3,6,6,6,2,4,7,2,5,4,6,2,6,2,6,5,2,2,1,1
third,10237,4,3,4,5,5,3,4,4,5,5,3,6,2,5,6,5,3,4,4,4,3,3,3,3
third,10238,3,5,5,5,4,5,2,4,4,5,3,4,1,5,7,5,5,5,4,4,4,4,4,4
