Study,UserID,Item22IE,Item09IE,Item12IE,Item24IE,Item21IE,Item01IE,Item17PC,Item15PC,Item06PC,Item02PC,Item08PC,Item16PT,Item14PT,Item18PT,Item11PT,Item13EI,Item03EI,Item07EI,Interest/Enjoyment,Perceived Choice,Pressure/Tension,Effort/Importance,Intrinsic Motivation
first,10232,5,4,5,7,6,6,2,4,4,2,2,2,1,2,1,1,6,3,5.5,5.2,3,6,5.425
first,10233,2,4,2,3,1,2,3,6,3,7,3,1,1,2,7,2,4,3,2.3333333333333335,3.6,1.25,5,4.420833333333333
first,10234,5,3,2,2,6,2,4,6,5,2,4,1,2,1,7,4,4,4,3.3333333333333335,3.8,1.25,4,4.470833333333333
first,10237,5,5,4,3,6,6,1,2,5,3,2,1,1,1,7,2,2,3,4.833333333333333,5.4,1,4.333333333333333,5.391666666666667
first,10238,4,3,4,4,4,4,5,7,5,4,4,4,4,5,4,2,5,2,3.8333333333333335,3,4.25,5.666666666666667,4.0625
first,10240,4,3,4,4,2,4,6,7,7,6,5,1,1,1,7,3,5,4,3.5,1.8,1,4.666666666666667,4.241666666666667
third,10169,7,7,7,7,7,7,2,4,2,4,2,5,5,5,1,5,5,5,7,5.2,5.5,3.6666666666666665,4.591666666666667
third,10170,4,4,4,4,6,3,2,3,1,2,3,1,1,1,1,3,4,3,4.166666666666667,5.8,2.5,4.666666666666667,5.033333333333333
third,10171,6,7,5,6,6,5,2,2,2,2,1,2,2,1,6,1,7,1,5.833333333333333,6.2,1.75,7,6.320833333333333
third,10172,5,5,5,5,7,4,6,5,5,5,5,5,4,5,5,5,4,5,5.166666666666667,2.8,4.25,3.3333333333333335,3.7625
third,10174,4,4,6,4,6,3,4,4,3,4,4,5,4,5,5,5,4,2,4.5,4.2,4.25,4.333333333333333,4.195833333333333
third,10175,4,4,4,4,4,4,1,3,1,1,1,1,1,1,7,1,4,1,4,6.6,1,6,5.9
third,10176,4,4,4,4,4,3,4,4,5,6,4,5,4,5,4,4,4,5,3.8333333333333335,3.4,4.5,3.6666666666666665,3.5999999999999996
third,10179,3,4,4,2,3,6,6,7,5,5,4,1,1,2,7,2,6,1,3.6666666666666665,2.6,1.25,6.333333333333333,4.8375
third,10181,3,3,2,1,2,2,1,5,5,5,3,1,4,5,4,5,2,4,2.1666666666666665,4.2,3.5,3,3.466666666666667
third,10183,3,3,2,3,3,3,4,4,3,2,5,4,4,5,2,4,2,3,2.8333333333333335,4.4,4.75,3.6666666666666665,3.5374999999999996
third,10184,4,3,4,4,4,4,5,4,4,3,4,3,4,4,4,4,3,4,3.8333333333333335,4,3.75,3.6666666666666665,3.9375
third,10185,4,3,6,5,6,5,6,3,6,5,3,4,4,5,4,4,4,3,4.833333333333333,3.4,4.25,4.333333333333333,4.079166666666667
third,10186,4,3,3,6,6,1,4,4,4,4,1,4,5,4,1,1,7,1,3.8333333333333335,4.6,5,7,4.608333333333333
third,10188,3,3,3,1,4,4,1,3,1,3,1,1,1,1,7,2,4,3,3,6.2,1,5,5.3
third,10189,2,2,2,1,4,1,5,5,4,5,4,1,1,2,4,1,5,3,2,3.4,2,5.666666666666667,4.266666666666667
third,10190,3,4,4,3,3,2,6,7,5,3,4,5,5,5,5,3,4,5,3.1666666666666665,3,4.5,4,3.416666666666666
third,10191,3,2,2,3,3,1,5,5,4,5,5,1,1,1,7,2,4,4,2.3333333333333335,3.2,1,4.666666666666667,4.3
third,10192,4,5,1,6,4,4,2,3,4,3,4,4,4,4,3,1,7,5,4,4.8,4.25,5.666666666666667,4.554166666666667
third,10193,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1.3333333333333333,7,2.75,5,4.645833333333334
third,10197,3,2,2,5,5,4,3,2,2,4,4,3,3,5,5,3,4,3,3.5,5,3.5,4.666666666666667,4.416666666666667
third,10198,6,3,2,4,4,5,4,1,6,5,6,4,4,4,3,2,6,3,4,3.6,4.25,5.666666666666667,4.254166666666666
third,10199,3,3,3,4,4,1,5,3,5,3,5,2,4,3,4,4,4,4,3,3.8,3.25,4,3.8875
third,10200,4,5,5,5,5,3,4,3,2,5,2,5,5,4,3,1,6,1,4.5,4.8,4.75,6.666666666666667,4.804166666666667
third,10201,5,6,3,5,6,6,3,5,4,3,4,2,3,4,5,3,5,3,5.166666666666667,4.2,3,5,4.841666666666667
third,10202,3,3,3,3,3,3,2,3,5,2,2,3,3,3,3,2,5,2,3,5.2,3.5,5.666666666666667,4.591666666666667
third,10203,5,4,4,4,3,5,1,4,1,1,1,5,2,1,3,1,7,1,4.166666666666667,6.4,3.25,7,5.579166666666667
third,10204,1,1,1,1,1,1,6,7,7,7,6,5,5,5,1,4,4,1,1,1.4,5.5,5,2.475
third,10206,4,5,4,2,4,3,2,3,2,3,2,2,3,3,4,2,5,2,3.6666666666666665,5.6,3,5.666666666666667,4.983333333333333
third,10208,4,4,4,4,4,3,2,4,4,4,2,2,2,2,5,2,5,2,3.8333333333333335,4.8,2.25,5.666666666666667,5.0125
third,10209,2,2,2,4,2,2,6,7,7,7,6,1,2,1,7,2,3,3,2.3333333333333335,1.4,1.25,4.666666666666667,3.7874999999999996
third,10210,1,1,1,1,1,1,6,7,7,7,6,5,5,5,1,1,7,1,1,1.4,5.5,7,2.9749999999999996
third,10213,3,4,4,7,4,1,6,7,7,7,6,5,1,5,4,1,7,1,3.8333333333333335,1.4,3.75,7,4.120833333333334
third,10214,1,1,1,1,2,1,2,6,7,6,6,1,5,4,2,1,7,1,1.1666666666666667,2.6,4,7,3.6916666666666664
third,10215,5,4,5,2,5,3,1,5,4,2,1,1,1,1,1,1,2,4,4,5.4,2.5,4.333333333333333,4.808333333333334
third,10216,5,4,5,3,4,7,2,3,1,2,3,1,1,1,7,1,4,2,4.666666666666667,5.8,1,5.666666666666667,5.783333333333333
third,10217,5,5,4,3,5,4,5,4,4,4,2,1,1,1,7,3,3,4,4.333333333333333,4.2,1,4,4.883333333333333
third,10218,4,4,4,4,4,4,5,4,5,4,4,5,4,4,5,4,4,4,4,3.6,4,4,3.9000000000000004
third,10219,2,1,2,1,1,4,6,7,4,1,6,1,1,1,7,5,2,6,1.8333333333333333,3.2,1,2.3333333333333335,3.591666666666667
third,10220,1,4,4,1,4,1,1,1,4,1,1,1,1,1,7,1,4,1,2.5,6.4,1,6,5.475
third,10221,3,3,3,2,3,2,4,4,5,6,6,2,4,5,6,2,5,3,2.6666666666666665,3,3.25,5.333333333333333,3.9375
third,10223,5,5,5,4,6,5,4,4,3,4,4,4,4,2,4,4,5,4,5,4.2,3.5,4.333333333333333,4.508333333333333
third,10224,4,4,4,4,4,4,5,5,4,4,4,5,4,5,3,4,5,5,4,3.6,4.75,4,3.7125000000000004
third,10226,1,1,1,1,4,1,6,7,7,7,6,5,5,5,1,5,2,6,1.5,1.4,5.5,2.3333333333333335,1.9333333333333336
third,10227,4,3,5,3,6,5,4,4,3,3,3,4,5,3,5,5,4,3,4.333333333333333,4.6,3.75,4,4.295833333333333
third,10228,1,1,2,1,2,1,2,2,1,1,2,3,2,2,1,2,2,1,1.3333333333333333,6.4,3.5,5,4.308333333333334
third,10230,4,5,5,4,5,4,4,5,3,3,5,4,5,5,6,3,3,2,4.5,4,4,4.666666666666667,4.291666666666667
third,10231,4,4,5,4,4,6,1,1,2,2,2,1,1,1,7,3,2,4,4.5,6.4,1,3.6666666666666665,5.391666666666667
third,10232,4,4,5,5,5,4,3,3,4,3,4,2,2,2,3,1,5,1,4.5,4.6,2.75,6.333333333333333,5.170833333333333
third,10234,2,2,2,1,2,1,6,6,6,7,6,2,4,2,7,5,2,6,1.6666666666666667,1.8,2.25,2.3333333333333335,2.8875
third,10237,3,5,6,3,3,4,3,6,3,3,4,5,5,4,3,2,4,4,4,4.2,4.75,4.666666666666667,4.029166666666667
third,10238,4,4,4,4,4,3,5,7,5,5,4,5,5,5,3,1,5,2,3.8333333333333335,2.8,5,6,3.908333333333333
