UserID,Un2,Ap1,Ap3,An3a,An3b,Ev2,ReB,ApA,ApC,AnC1,AnC2,EvB,PGs3,pre.PersonScores,pos.PersonScores,pre.theta,pos.theta,pre.sd.error,pos.sd.error,gain.theta
10203,42,0,22,0,0,8,11,6,0,0,0,0,NA,72,17,0.035854287992192924,-0.08489552468833275,0.05255181782838717,0.060639521907523766,-0.12074981268052568
10204,13,0,10,7,6,0,56,0,8,0,14,0,2,36,80,-0.05265889890637712,0.017894859646990044,0.05494081216483837,0.046582668883076106,0.07055375855336717
10206,27,0,10,13,0,18,38,6,7,14,6,0,1,68,72,0.025705899504681624,0.003969634150543375,0.052020506298266087,0.043949517752927665,-0.021736265354138248
10209,28,22,10,0,14,8,56,14,18,14,6,8,1,82,117,0.06276737634826397,0.1562264802554651,0.054654477806031096,0.0759678032545259,0.09345910390720112
10210,40,0,11,6,12,0,47,0,18,6,6,0,4,69,81,0.02821619263600238,0.019900977959110448,0.05213718626713381,0.04701096046090048,-0.008315214676891933
10213,12,22,0,0,7,18,56,0,0,0,5,8,3,59,72,0.0037137365211865553,0.003969634150543375,0.05146330284286733,0.043949517752927665,2.5589762935681985e-4
10214,0,0,10,0,6,0,21,14,8,14,12,0,NA,16,69,-0.119322468984448,0.0030901862702748554,0.07016561298980435,0.04387738929578873,0.12241265525472285
10215,28,10,22,7,0,8,20,14,0,7,0,0,4,75,45,0.043673393797475195,-0.03308852293229352,0.053063951450703216,0.04332730353889873,-0.07676191672976872
10216,28,22,10,7,7,0,56,6,0,14,14,0,NA,74,90,0.04104532658364394,0.05030874858739739,0.05288230717617616,0.054470587661633825,0.00926342200375345
10217,26,22,0,14,0,18,56,14,6,14,6,6,4,80,106,0.05719733460810079,0.10402590868323905,0.054111547468762546,0.06517316441684809,0.04682857407513826
10218,13,22,22,0,0,8,56,0,0,0,0,0,4,65,60,0.01826839109445089,-0.013222064130632006,0.05173529700848575,0.04230733734008147,-0.0314904552250829
10219,27,22,10,14,0,0,39,14,8,0,0,0,NA,73,61,0.03843927407252286,0.021991385464854588,0.05271162310859365,0.04872256021735978,-0.01644788860766827
10220,13,22,0,0,0,8,38,0,0,0,14,9,NA,43,61,-0.0347519865701893,0.021991385464854588,0.0529584035716302,0.04872256021735978,0.056743372035043885
10221,13,0,0,0,0,8,29,0,0,0,6,0,4,21,39,-0.09890083505755183,-0.1396132232111215,0.0641921080354561,0.05977776066628035,-0.04071238815356966
10223,14,22,0,14,14,0,20,6,0,14,12,8,NA,64,60,0.01581694187345002,-0.009165317494916659,0.05166200782621911,0.04239497303624075,-0.02498225936836668
10226,12,0,10,6,0,9,56,0,0,7,7,0,NA,37,70,-0.04951684378694309,0.004656330280721491,0.05505198266988908,0.04411860499519871,0.05417317406766459
10227,14,22,11,6,14,0,0,8,0,8,8,10,NA,67,34,0.02321183987606493,-0.045784183758951866,0.05191460562694912,0.045839265127391116,-0.06899602363501679
10228,0,0,0,0,0,8,21,6,0,7,0,0,NA,8,34,-0.16474156164136175,-0.045784183758951866,0.08763245974606709,0.045839265127391116,0.11895737788240988
10230,24,22,22,12,0,8,2,0,8,0,0,8,NA,88,18,0.0802961786821559,-0.08129988514656106,0.05651051094289435,0.05894238745237364,-0.16159606382871694
10231,42,22,0,14,14,8,38,14,0,14,0,18,1,100,85,0.11987508787959664,0.028743193169073596,0.06212565895869817,0.04909566056696442,-0.09113189471052305
10232,27,22,22,0,6,7,29,6,8,5,4,0,2,84,54,0.06847742929706427,-0.0070968423443427894,0.05521829653421974,0.046393808736674744,-0.07557427164140706
10237,27,22,0,14,0,0,56,0,8,6,0,8,NA,63,78,0.013377602575372897,0.018791170936425326,0.05159973495793211,0.046851552898098406,0.005413568361052428
10238,11,0,22,14,0,8,38,0,0,14,6,0,NA,55,58,-0.005836434176689644,-0.012570656176375584,0.051513624593617774,0.042372796471024834,-0.006734221999685939
10240,27,22,0,0,6,0,29,6,0,14,0,0,NA,55,49,-0.005836434176689644,-0.08227997718238161,0.051513624593617774,0.466770732219797,-0.07644354300569196
