UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,ParticipationLevel,NroNecessaryInteractions,(1) Elaborar lista de exercícios,(2) Demonstrar a solução de um problema,(3) Enviar (ou reenviar) a solução do problema,(c) Aceitar a solução como boa,NroSolutionReviewed (Apprentice),NroSolutionReviewed (Master),NroSolutionWithoutReviewed (Apprentice),NroSolutionWithoutReviewed (Master),NroSolutionGoodReview,NroDesiredInteractions,(a) Expressar dúvidas em relação à demonstração,(b) Esclarecer as dúvidas,(d) Notificar os erros existentes na solução,(e) Apresentar dicas ou otra forma de ajuda,(f) Expressar dificuldade em resolver o problema,(g) Explicar como resolver o problema
10172,10273971,w/o-gamified,Grupo5,Apprentice,,partial,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0
10204,10310471,w/o-gamified,Grupo6,Apprentice,,partial,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
10210,10277015,w/o-gamified,Grupo6,Apprentice,,partial,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
10233,9805320,w/o-gamified,Grupo6,Master,,partial,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
10213,10277040,w/o-gamified,Grupo7,Apprentice,,complete,3,0,0,3,0,3,0,0,0,3,1,1,0,0,0,0,0
10174,10276852,w/o-gamified,Grupo7,Master,,complete,8,1,1,0,6,0,6,0,0,0,0,0,0,0,0,0,0
10232,10276974,w/o-gamified,Grupo7,Apprentice,,complete,3,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0
10197,10276661,w/o-gamified,Grupo8,Apprentice,,complete,2,0,0,2,0,2,0,0,0,2,1,1,0,0,0,0,0
10206,10310721,w/o-gamified,Grupo8,Apprentice,,complete,3,0,0,3,0,3,0,0,0,2,0,0,0,0,0,0,0
10212,9065750,w/o-gamified,Grupo8,Master,,complete,6,1,1,0,4,0,5,0,0,0,2,0,1,0,1,0,0
10185,10276960,w/o-gamified,Grupo9,Apprentice,,partial,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
10231,10276911,w/o-gamified,Grupo9,Master,,complete,6,1,1,0,4,0,6,0,0,0,7,0,0,2,5,0,0
10217,9805341,w/o-gamified,Grupo9,Apprentice,,complete,4,0,0,4,0,4,0,0,0,4,0,0,0,0,0,0,0
10187,9790781,ont-gamified,Mafia,Apprentice,Social Achiever,partial,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10209,10262669,ont-gamified,Mafia,Apprentice,Social Achiever,complete,3,0,0,3,0,3,0,0,0,2,0,0,0,0,0,0,0
10171,698531,ont-gamified,Mafia,Master,Social Achiever,complete,4,1,1,0,2,0,4,0,0,0,9,0,0,2,7,0,0
10208,10276932,ont-gamified,Mercenaries,Master,Social Achiever,complete,6,1,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0
10224,9368772,ont-gamified,Mercenaries,Apprentice,Social Achiever,semicomplete,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
10203,9921470,ont-gamified,Mercenaries,Apprentice,Social Achiever,complete,2,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0
10237,10377688,ont-gamified,Outlaws,Apprentice,Social Achiever,complete,2,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0
10178,8656201,ont-gamified,Outlaws,Apprentice,Social Achiever,semicomplete,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
10176,10276949,ont-gamified,Outlaws,Master,Social Achiever,complete,5,1,1,0,3,0,3,0,0,0,1,0,0,1,0,0,0
10169,10377538,ont-gamified,Resistance,Apprentice,Social Achiever,semicomplete,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
10228,10310492,ont-gamified,Resistance,Apprentice,Social Achiever,semicomplete,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
10230,10351992,ont-gamified,Resistance,Master,Social Achiever,complete,5,1,1,0,3,0,2,0,0,0,4,0,0,2,2,0,0
10202,10277036,ont-gamified,Silly Knights,Apprentice,Social Achiever,complete,6,0,0,6,0,5,0,1,0,2,1,0,0,0,0,1,0
10216,10276720,ont-gamified,Silly Knights,Master,Social Achiever,semicomplete,4,1,1,0,2,0,5,0,1,0,4,0,0,0,4,0,0
10186,10310551,ont-gamified,Slayers,Apprentice,Social Achiever,semicomplete,3,0,0,3,0,1,0,2,0,1,1,1,0,0,0,0,0
10223,9795185,ont-gamified,Slayers,Master,Social Achiever,semicomplete,3,1,1,0,1,0,1,0,2,0,1,0,1,0,0,0,0
10193,10276762,ont-gamified,Vandals,Apprentice,Yee Achiever,complete,3,0,0,3,0,2,0,1,0,2,0,0,0,0,0,0,0
10188,10276995,ont-gamified,Vandals,Master,Yee Achiever,semicomplete,4,1,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0
10189,9363926,ont-gamified,Vikings,Apprentice,Social Achiever,partial,1,0,0,1,0,1,0,0,0,0,2,2,0,0,0,0,0
10214,10277022,ont-gamified,Vikings,Apprentice,Social Achiever,complete,3,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0
10215,9285227,ont-gamified,Vikings,Master,Social Achiever,complete,5,1,1,0,3,0,4,0,0,0,3,0,0,1,2,0,0
10175,10310700,ont-gamified,Warriors,Master,Social Achiever,complete,7,1,1,0,5,0,5,0,0,0,5,0,1,1,3,0,0
10200,9795272,ont-gamified,Warriors,Apprentice,Social Achiever,complete,3,0,0,3,0,3,0,0,0,3,1,1,0,0,0,0,0
10221,9082496,ont-gamified,Warriors,Apprentice,Social Achiever,complete,2,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0
