UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,Item08IE,Item09IE,Item11IE,Item12IE,Item21IE,Item24IE,Item03PC,Item05PC,Item13PC,Item18PC,Item20PC,Item02PT,Item04PT,Item06PT,Item23PT,Item01EI,Item14EI,Item19EI,Item22EI
10184.0,10276675.0,w/o-gamified,Grupo10,Apprentice,NA,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0
10185.0,10276960.0,w/o-gamified,Grupo9,Apprentice,NA,6.0,4.0,5.0,5.0,3.0,6.0,3.0,6.0,5.0,6.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0
10186.0,10310551.0,ont-gamified,Slayers,Apprentice,Social Achiever,6.0,4.0,6.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,5.0,4.0,4.0,1.0,1.0,7.0,1.0,7.0
10188.0,10276995.0,ont-gamified,Vandals,Master,Yee Achiever,4.0,3.0,1.0,4.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,4.0,3.0,1.0
10189.0,9363926.0,ont-gamified,Vikings,Apprentice,Social Achiever,4.0,2.0,1.0,1.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,1.0,1.0,2.0,4.0,1.0,5.0,3.0,6.0
10190.0,10276907.0,w/o-gamified,Grupo4,Apprentice,NA,3.0,3.0,3.0,2.0,4.0,4.0,7.0,7.0,3.0,5.0,4.0,5.0,7.0,6.0,5.0,3.0,4.0,5.0,4.0
10191.0,10276981.0,w/o-gamified,Grupo1,Master,NA,3.0,3.0,3.0,1.0,2.0,2.0,5.0,5.0,5.0,4.0,5.0,1.0,1.0,1.0,7.0,2.0,4.0,4.0,4.0
10192.0,10276682.0,ont-gamified,Attractive Devils,Apprentice,Social Achiever,4.0,4.0,6.0,4.0,5.0,1.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,7.0,5.0,5.0
10193.0,10276762.0,ont-gamified,Vandals,Apprentice,Yee Achiever,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0
10197.0,10276661.0,w/o-gamified,Grupo8,Apprentice,NA,5.0,3.0,5.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,3.0,5.0,5.0,3.0,4.0,3.0,4.0
10198.0,10310888.0,ont-gamified,Attractive Devils,Apprentice,Social Achiever,4.0,6.0,4.0,5.0,3.0,2.0,1.0,4.0,5.0,6.0,6.0,4.0,4.0,4.0,3.0,2.0,6.0,3.0,6.0
10199.0,10276737.0,w/o-gamified,Grupo1,Apprentice,NA,4.0,3.0,4.0,1.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0
10200.0,9795272.0,ont-gamified,Warriors,Apprentice,Social Achiever,5.0,4.0,5.0,3.0,5.0,5.0,3.0,4.0,5.0,2.0,2.0,5.0,5.0,4.0,3.0,1.0,6.0,1.0,6.0
10201.0,10276928.0,w/o-gamified,Grupo11,Apprentice,NA,6.0,5.0,5.0,6.0,6.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,5.0,3.0,5.0,3.0,5.0
10202.0,10277036.0,ont-gamified,Silly Knights,Apprentice,Social Achiever,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,5.0,2.0,3.0,3.0,3.0,3.0,2.0,5.0,2.0,5.0
10203.0,9921470.0,ont-gamified,Mercenaries,Apprentice,Social Achiever,3.0,5.0,4.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,3.0,1.0,7.0,1.0,6.0
10204.0,10310471.0,w/o-gamified,Grupo6,Apprentice,NA,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,4.0,4.0,1.0,7.0
10206.0,10310721.0,w/o-gamified,Grupo8,Apprentice,NA,4.0,4.0,2.0,3.0,5.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,5.0,2.0,5.0
10208.0,10276932.0,ont-gamified,Mercenaries,Master,Social Achiever,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,5.0,2.0,4.0
10209.0,10262669.0,ont-gamified,Mafia,Apprentice,Social Achiever,2.0,2.0,4.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,2.0,1.0,1.0,7.0,2.0,3.0,3.0,2.0
10210.0,10277015.0,w/o-gamified,Grupo6,Apprentice,NA,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,7.0,1.0,7.0
10213.0,10277040.0,w/o-gamified,Grupo7,Apprentice,NA,4.0,3.0,7.0,1.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,1.0,7.0,7.0,4.0,1.0,7.0,1.0,7.0
10214.0,10277022.0,ont-gamified,Vikings,Apprentice,Social Achiever,2.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,6.0,7.0,6.0,5.0,1.0,4.0,2.0,1.0,7.0,1.0,7.0
10215.0,9285227.0,ont-gamified,Vikings,Master,Social Achiever,5.0,5.0,2.0,3.0,4.0,5.0,5.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0
10216.0,10276720.0,ont-gamified,Silly Knights,Master,Social Achiever,4.0,5.0,3.0,7.0,4.0,5.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,1.0,4.0,2.0,4.0
10217.0,9805341.0,w/o-gamified,Grupo9,Apprentice,NA,5.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,2.0,1.0,1.0,1.0,7.0,3.0,3.0,4.0,2.0
10218.0,9842913.0,w/o-gamified,Grupo10,Apprentice,NA,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0
10219.0,10276831.0,w/o-gamified,Grupo3,Master,NA,1.0,2.0,1.0,4.0,1.0,2.0,7.0,7.0,1.0,4.0,7.0,1.0,1.0,1.0,7.0,5.0,1.0,7.0,2.0
10220.0,9760151.0,w/o-gamified,Grupo3,Apprentice,NA,4.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,7.0,1.0,4.0,1.0,7.0
10221.0,9082496.0,ont-gamified,Warriors,Apprentice,Social Achiever,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,6.0,5.0,6.0,4.0,2.0,6.0,6.0,2.0,5.0,3.0,5.0
10223.0,9795185.0,ont-gamified,Slayers,Master,Social Achiever,6.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0
10224.0,9368772.0,ont-gamified,Mercenaries,Apprentice,Social Achiever,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,6.0
10226.0,10310342.0,w/o-gamified,Grupo4,Apprentice,NA,4.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,7.0,1.0,7.0,1.0
10227.0,9274382.0,w/o-gamified,Grupo5,Master,NA,6.0,4.0,3.0,5.0,3.0,5.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,5.0,4.0,3.0,3.0
10228.0,10310492.0,ont-gamified,Resistance,Apprentice,Social Achiever,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0
10230.0,10351992.0,ont-gamified,Resistance,Master,Social Achiever,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,4.0,6.0,6.0,3.0,3.0,2.0,5.0
10231.0,10276911.0,w/o-gamified,Grupo9,Master,NA,4.0,4.0,4.0,6.0,4.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,7.0,3.0,1.0,4.0,1.0
10232.0,10276974.0,w/o-gamified,Grupo7,Apprentice,NA,5.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,1.0,5.0,1.0,6.0
10234.0,10310676.0,w/o-gamified,Grupo4,Master,NA,2.0,2.0,1.0,1.0,2.0,2.0,6.0,6.0,7.0,6.0,6.0,4.0,2.0,2.0,7.0,6.0,1.0,6.0,4.0
10237.0,10377688.0,ont-gamified,Outlaws,Apprentice,Social Achiever,3.0,3.0,3.0,4.0,5.0,6.0,6.0,3.0,3.0,3.0,4.0,6.0,5.0,4.0,3.0,2.0,4.0,4.0,5.0
10238.0,10276953.0,w/o-gamified,Grupo2,Master,NA,4.0,4.0,4.0,3.0,4.0,4.0,7.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,1.0,5.0,2.0,5.0
